address_id,city,full_address,zone_cluster,zone_type,latitude,longitude,rationale
CDMX_01,Ciudad de México,"Presidente Masaryk 290, Polanco, Miguel Hidalgo, CDMX",Polanco,premium,19.4325,-99.1935,"Polanco: zona de alto poder adquisitivo, alta densidad de plataformas y competencia"
CDMX_02,Ciudad de México,"Álvaro Obregón 110, Roma Norte, Cuauhtémoc, CDMX",Roma,residential_premium,19.4162,-99.1628,"Roma Norte: zona media-alta, muy activa en delivery, referencia de precio equilibrado"
CDMX_03,Ciudad de México,"Insurgentes Sur 1602, Crédito Constructor, Benito Juárez, CDMX",Insurgentes,commercial,19.3845,-99.1701,"Insurgentes: corredor comercial, alto tráfico, competencia intensa en delivery"
CDMX_04,Ciudad de México,"Av. Revolución 1800, San Ángel, Álvaro Obregón, CDMX",San_Angel,residential_premium,19.3542,-99.1955,"San Ángel: zona residencial alta, buena cobertura de las 3 plataformas"
CDMX_05,Ciudad de México,"Calzada de Tlalpan 2900, Coapa, Tlalpan, CDMX",Coapa,residential_medium,19.2987,-99.1302,"Coapa: zona residencial media, representativa del sur de CDMX"
CDMX_06,Ciudad de México,"Av. Tláhuac 4190, Tláhuac, CDMX",Tlahuac,peripheral,19.2821,-99.0082,"Tláhuac: zona periférica, menor densidad de oferta, ETAs más largos esperados"
CDMX_07,Ciudad de México,"Periférico Norte 5000, Satélite, Naucalpan, Estado de México",Satelite,commercial,19.5071,-99.2256,"Zona Satélite: área metropolitana alta, referencia suburban-premium ZMVM"
CDMX_08,Ciudad de México,"Av. Texcoco 320, Iztapalapa, CDMX",Iztapalapa,peripheral,19.3571,-99.0648,"Iztapalapa: zona de alta densidad poblacional, estratégica para expansión"
CDMX_09,Ciudad de México,"Blvd. Manuel Ávila Camacho 500, Lomas de Chapultepec, CDMX",Lomas,premium,19.4312,-99.2201,"Lomas de Chapultepec: zona premium extremo, fees posiblemente diferentes"
CDMX_10,Ciudad de México,"Av. Ermita Iztapalapa 800, Iztacalco, CDMX",Iztacalco,residential_medium,19.3892,-99.1102,"Iztacalco: zona media-popular, representativa del oriente de CDMX"
CDMX_11,Ciudad de México,"Xochimilco Km 22, San Gregorio Atlapulco, Xochimilco, CDMX",Xochimilco,peripheral,19.2652,-99.1062,"Xochimilco: zona semi-rural periférica, cobertura limitada esperada"
CDMX_12,Ciudad de México,"Av. Paseo de la Reforma 350, Cuauhtémoc, CDMX",Reforma,commercial,19.4283,-99.1689,"Reforma: centro financiero-comercial, zona de máxima competencia entre plataformas"
GDL_01,Guadalajara,"Av. Vallarta 2300, Americana, Guadalajara, Jalisco",GDL_Centro_Premium,premium,20.6758,-103.3842,"Americana/Lafayette: zona premium Guadalajara, alta densidad restaurantes"
GDL_02,Guadalajara,"Av. López Mateos Sur 4200, Chapalita, Guadalajara, Jalisco",GDL_Chapalita,residential_premium,20.6314,-103.4188,"Chapalita: zona residencial alta, comparativo frente a Polanco en CDMX"
GDL_03,Guadalajara,"Av. Patria 1000, Zapopan, Jalisco",GDL_Zapopan,commercial,20.7219,-103.4052,"Zapopan: nodo comercial clave del AMG, mucha competencia de plataformas"
GDL_04,Guadalajara,"Av. 8 de Julio 1990, Centro Histórico, Guadalajara, Jalisco",GDL_Centro,residential_medium,20.6628,-103.3438,"Centro histórico GDL: zona media, densidad alta de usuarios"
GDL_05,Guadalajara,"Carretera a El Salto Km 5, Tonalá, Jalisco",GDL_Tonala,peripheral,20.6223,-103.2341,"Tonalá: zona periférica oriente, representa límites de cobertura en AMG"
GDL_06,Guadalajara,"Av. Acueducto 1700, Puerta de Hierro, Zapopan, Jalisco",GDL_Puerta_Hierro,premium,20.7089,-103.4401,"Puerta de Hierro: zona exclusiva Zapopan, referente premium fuera de CDMX"
MTY_01,Monterrey,"Av. Garza Sada 2501, Tecnológico, Monterrey, Nuevo León",MTY_Tec,commercial,25.6514,-100.2901,"Zona Tec: alta densidad universitaria-comercial, usuarios jóvenes activos en delivery"
MTY_02,Monterrey,"Av. Vasconcelos 150, San Pedro Garza García, Nuevo León",MTY_SanPedro,premium,25.6579,-100.4012,"San Pedro: zona premium Monterrey, nivel socioeconómico más alto de México"
MTY_03,Monterrey,"Av. Revolución 2300, Monterrey, Nuevo León",MTY_Centro,residential_medium,25.6697,-100.3087,"Centro MTY: zona mixta residencial-comercial, representativa de clase media regiomontana"
MTY_04,Monterrey,"Av. Lincoln 3098, Mitras Centro, Monterrey, Nuevo León",MTY_Mitras,residential_medium,25.6923,-100.3245,"Mitras: zona residencial media alta Monterrey, alta penetración de delivery"
MTY_05,Monterrey,"Carretera Nacional Km 18, Santiago, Nuevo León",MTY_Periferica,peripheral,25.4812,-100.1542,"Santiago: zona periférica/turística MTY, cobertura más limitada"
MTY_06,Monterrey,"Av. Morones Prieto 2900, Lomas del Valle, San Pedro, Nuevo León",MTY_Lomas,premium,25.6389,-100.3889,"Lomas del Valle San Pedro: segunda referencia premium en Monterrey"
